Datum,Supermarkt,Artikelnummer,Umsatz
2023-07-29,Supermarkt 4,A700407960,701.6
2023-07-29,Supermarkt 4,A815782616,1143.2
2023-07-29,Supermarkt 4,A549045120,315.95
2023-07-29,Supermarkt 4,A423722691,828.19
2023-07-29,Supermarkt 4,A136466027,767.37
2023-07-29,Supermarkt 4,A378266150,877.7
2023-07-29,Supermarkt 4,A999347708,606.59
2023-07-29,Supermarkt 4,A019265800,295.44
2023-07-29,Supermarkt 4,A146504390,977.63
2023-07-29,Supermarkt 4,A989981183,535.54
2023-07-29,Supermarkt 4,A330327872,742.66
2023-07-29,Supermarkt 4,A870915361,1178.89
2023-07-29,Supermarkt 4,A259454150,505.69
2023-07-29,Supermarkt 4,A372068692,37.27
2023-07-29,Supermarkt 4,A374434117,193.92
2023-07-29,Supermarkt 4,A514866963,1135.38
2023-07-29,Supermarkt 4,A723537068,204.78
2023-07-29,Supermarkt 4,A532548198,952.98
2023-07-29,Supermarkt 4,A100730616,593.52
2023-07-29,Supermarkt 4,A326808827,995.64
2023-07-29,Supermarkt 4,A255847604,683.19
2023-07-29,Supermarkt 4,A255193123,1111.39
2023-07-29,Supermarkt 4,A646517298,208.87
2023-07-29,Supermarkt 4,A318938704,511.7
2023-07-29,Supermarkt 4,A054318164,96.84
2023-07-29,Supermarkt 4,A318608643,5.81
2023-07-29,Supermarkt 4,A080457377,61.49
2023-07-29,Supermarkt 4,A823953263,730.76
2023-07-29,Supermarkt 4,A425482210,210.04
2023-07-29,Supermarkt 4,A604937338,1005.28
2023-07-29,Supermarkt 4,A572880989,569.38
2023-07-29,Supermarkt 4,A682903812,239.45
2023-07-29,Supermarkt 4,A916966929,321.0
2023-07-29,Supermarkt 4,A570650616,239.11
2023-07-29,Supermarkt 4,A598622108,369.05
2023-07-29,Supermarkt 4,A032179396,999.27
2023-07-29,Supermarkt 4,A832072969,1110.73
2023-07-29,Supermarkt 4,A961138459,999.72
2023-07-29,Supermarkt 4,A897505213,173.29
2023-07-29,Supermarkt 4,A916873693,84.03
2023-07-29,Supermarkt 4,A769457115,426.46
2023-07-29,Supermarkt 4,A759768800,26.43
2023-07-29,Supermarkt 4,A694833875,106.85
2023-07-29,Supermarkt 4,A486874181,39.41
2023-07-29,Supermarkt 4,A504606535,73.91
2023-07-29,Supermarkt 4,A737558937,770.83
2023-07-29,Supermarkt 4,A780660615,1186.63
2023-07-29,Supermarkt 4,A080263736,647.08
2023-07-29,Supermarkt 4,A995987625,950.8
2023-07-29,Supermarkt 4,A583044907,1157.91
2023-07-29,Supermarkt 4,A073041068,978.89
2023-07-29,Supermarkt 4,A505420213,995.42
2023-07-29,Supermarkt 4,A864571822,1122.25
2023-07-29,Supermarkt 4,A898420684,1096.77
2023-07-29,Supermarkt 4,A092764092,959.58
2023-07-29,Supermarkt 4,A345280706,658.35
2023-07-29,Supermarkt 4,A838365661,501.72
2023-07-29,Supermarkt 4,A740090764,180.64
2023-07-29,Supermarkt 4,A474096348,1084.82
2023-07-29,Supermarkt 4,A896628119,1064.56
2023-07-29,Supermarkt 4,A759880633,814.6
2023-07-29,Supermarkt 4,A711235704,296.72
2023-07-29,Supermarkt 4,A850686347,462.2
2023-07-29,Supermarkt 4,A704683956,451.99
2023-07-29,Supermarkt 4,A191374536,1157.91
2023-07-29,Supermarkt 4,A779291438,1100.77
2023-07-29,Supermarkt 4,A545096746,770.49
2023-07-29,Supermarkt 4,A120086036,35.79
2023-07-29,Supermarkt 4,A903994835,334.93
2023-07-29,Supermarkt 4,A967921033,299.22
2023-07-29,Supermarkt 4,A994616876,846.98
2023-07-29,Supermarkt 4,A804050816,578.89
2023-07-29,Supermarkt 4,A875903080,115.81
2023-07-29,Supermarkt 4,A129599369,918.45
2023-07-29,Supermarkt 4,A459485174,647.26
2023-07-29,Supermarkt 4,A180070284,51.79
2023-07-29,Supermarkt 4,A950890741,704.02
2023-07-29,Supermarkt 4,A391288825,345.22
2023-07-29,Supermarkt 4,A593866344,97.17
2023-07-29,Supermarkt 4,A531425227,548.14
2023-07-29,Supermarkt 4,A144983351,426.79
2023-07-29,Supermarkt 4,A566157709,691.99
2023-07-29,Supermarkt 4,A913996223,1029.95
2023-07-29,Supermarkt 4,A359021938,495.76
2023-07-29,Supermarkt 4,A167699491,961.77
2023-07-29,Supermarkt 4,A660746054,373.69
2023-07-29,Supermarkt 4,A750937477,1074.54
2023-07-29,Supermarkt 4,A839187408,208.68
2023-07-29,Supermarkt 4,A558119376,802.29
2023-07-29,Supermarkt 4,A886539397,733.59
2023-07-29,Supermarkt 4,A529121356,246.15
2023-07-29,Supermarkt 4,A781238065,824.88
2023-07-29,Supermarkt 4,A070650971,729.48
2023-07-29,Supermarkt 4,A548804252,193.88
2023-07-29,Supermarkt 4,A167062797,179.55
2023-07-29,Supermarkt 4,A796715547,399.17
2023-07-29,Supermarkt 4,A050652539,445.26
2023-07-29,Supermarkt 4,A112044092,658.06
2023-07-29,Supermarkt 4,A021851701,29.69
2023-07-29,Supermarkt 4,A563368527,1007.9
2023-07-29,Supermarkt 4,A581441188,1130.32
2023-07-29,Supermarkt 4,A515714979,302.06
2023-07-29,Supermarkt 4,A629799926,931.13
2023-07-29,Supermarkt 4,A722629871,973.99
2023-07-29,Supermarkt 4,A951679163,1149.22
2023-07-29,Supermarkt 4,A890023258,654.94
2023-07-29,Supermarkt 4,A156882114,562.55
2023-07-29,Supermarkt 4,A684828499,1148.65
2023-07-29,Supermarkt 4,A730767679,758.9
2023-07-29,Supermarkt 4,A709727627,1163.77
2023-07-29,Supermarkt 4,A132660260,1104.05
2023-07-29,Supermarkt 4,A478213961,677.49
2023-07-29,Supermarkt 4,A541971426,1124.93
2023-07-29,Supermarkt 4,A325915629,960.43
2023-07-29,Supermarkt 4,A068688948,677.55
2023-07-29,Supermarkt 4,A098254116,887.73
2023-07-29,Supermarkt 4,A923657051,320.31
2023-07-29,Supermarkt 4,A073763728,13.74
2023-07-29,Supermarkt 4,A765910416,656.89
2023-07-29,Supermarkt 4,A213864760,796.37
2023-07-29,Supermarkt 4,A318174016,703.71
2023-07-29,Supermarkt 4,A677780503,542.77
2023-07-29,Supermarkt 4,A034578511,885.05
2023-07-29,Supermarkt 4,A566851640,77.84
2023-07-29,Supermarkt 4,A435254285,998.67
2023-07-29,Supermarkt 4,A352895467,203.76
2023-07-29,Supermarkt 4,A736906463,598.81
2023-07-29,Supermarkt 4,A069699492,679.73
2023-07-29,Supermarkt 4,A829095350,1172.23
2023-07-29,Supermarkt 4,A601129768,436.85
2023-07-29,Supermarkt 4,A575171739,194.42
2023-07-29,Supermarkt 4,A632355975,443.58
2023-07-29,Supermarkt 4,A229661730,272.12
2023-07-29,Supermarkt 4,A040749219,854.26
2023-07-29,Supermarkt 4,A038735068,760.46
2023-07-29,Supermarkt 4,A002617846,835.18
2023-07-29,Supermarkt 4,A914929772,1067.73
2023-07-29,Supermarkt 4,A215524242,644.4
2023-07-29,Supermarkt 4,A054619963,112.02
2023-07-29,Supermarkt 4,A408781824,1180.6
2023-07-29,Supermarkt 4,A927675298,943.14
2023-07-29,Supermarkt 4,A358452102,31.67
2023-07-29,Supermarkt 4,A281115864,283.17
2023-07-29,Supermarkt 4,A911898038,42.06
2023-07-29,Supermarkt 4,A457976901,1146.35
2023-07-29,Supermarkt 4,A053798044,1173.08
2023-07-29,Supermarkt 4,A545004779,326.44
2023-07-29,Supermarkt 4,A388513382,158.22
2023-07-29,Supermarkt 4,A167123570,18.62
2023-07-29,Supermarkt 4,A262960226,195.02
2023-07-29,Supermarkt 4,A026441137,1068.56
2023-07-29,Supermarkt 4,A311757545,94.8
2023-07-29,Supermarkt 4,A958540170,651.89
2023-07-29,Supermarkt 4,A832930449,860.26
2023-07-29,Supermarkt 4,A943711147,108.3
2023-07-29,Supermarkt 4,A779573670,113.75
2023-07-29,Supermarkt 4,A432078557,81.64
2023-07-29,Supermarkt 4,A509564939,985.1
2023-07-29,Supermarkt 4,A653874706,789.77
2023-07-29,Supermarkt 4,A220674409,530.72
2023-07-29,Supermarkt 4,A143681521,872.6
2023-07-29,Supermarkt 4,A521770351,410.68
2023-07-29,Supermarkt 4,A066251485,440.06
2023-07-29,Supermarkt 4,A643336201,800.35
2023-07-29,Supermarkt 4,A731113366,1158.28
2023-07-29,Supermarkt 4,A337950119,740.0
2023-07-29,Supermarkt 4,A079474585,260.02
2023-07-29,Supermarkt 4,A287704720,245.67
2023-07-29,Supermarkt 4,A652916595,462.61
2023-07-29,Supermarkt 4,A773113655,322.92
2023-07-29,Supermarkt 4,A231256986,136.24
2023-07-29,Supermarkt 4,A516600080,631.72
2023-07-29,Supermarkt 4,A655090450,576.59
2023-07-29,Supermarkt 4,A108476931,153.16
2023-07-29,Supermarkt 4,A762464855,1027.34
2023-07-29,Supermarkt 4,A492876551,1051.36
2023-07-29,Supermarkt 4,A132368267,701.39
2023-07-29,Supermarkt 4,A391700736,124.64
2023-07-29,Supermarkt 4,A404407856,666.75
2023-07-29,Supermarkt 4,A854266108,603.97
2023-07-29,Supermarkt 4,A997713767,652.21
2023-07-29,Supermarkt 4,A268053778,718.31
2023-07-29,Supermarkt 4,A474459802,826.45
2023-07-29,Supermarkt 4,A576243224,75.13
2023-07-29,Supermarkt 4,A956717769,448.41
2023-07-29,Supermarkt 4,A920713912,1054.69
2023-07-29,Supermarkt 4,A594321487,1100.21
2023-07-29,Supermarkt 4,A040132152,1.39
2023-07-29,Supermarkt 4,A429759607,635.86
2023-07-29,Supermarkt 4,A139626857,741.17
2023-07-29,Supermarkt 4,A287195915,508.89
2023-07-29,Supermarkt 4,A075989008,690.91
2023-07-29,Supermarkt 4,A236177963,830.02
2023-07-29,Supermarkt 4,A617514740,825.62
2023-07-29,Supermarkt 4,A934247184,829.45
2023-07-29,Supermarkt 4,A018238458,630.05
2023-07-29,Supermarkt 4,A072787911,604.73
2023-07-29,Supermarkt 4,A520022599,597.41
2023-07-29,Supermarkt 4,A870671039,1191.13
2023-07-29,Supermarkt 4,A281483103,464.83
2023-07-29,Supermarkt 4,A457890316,1018.36
2023-07-29,Supermarkt 4,A276143682,458.84
2023-07-29,Supermarkt 4,A123057941,378.41
2023-07-29,Supermarkt 4,A871588979,466.13
2023-07-29,Supermarkt 4,A340937941,722.89
2023-07-29,Supermarkt 4,A992087755,7.51
2023-07-29,Supermarkt 4,A666985802,304.81
2023-07-29,Supermarkt 4,A068814159,478.63
2023-07-29,Supermarkt 4,A210996277,56.24
2023-07-29,Supermarkt 4,A924047643,679.79
2023-07-29,Supermarkt 4,A639372009,368.44
2023-07-29,Supermarkt 4,A409374588,335.63
2023-07-29,Supermarkt 4,A893334932,598.25
2023-07-29,Supermarkt 4,A497029278,560.58
2023-07-29,Supermarkt 4,A410428714,29.83
2023-07-29,Supermarkt 4,A528851378,51.02
2023-07-29,Supermarkt 4,A541464462,940.84
2023-07-29,Supermarkt 4,A650526951,899.63
2023-07-29,Supermarkt 4,A652054976,978.45
2023-07-29,Supermarkt 4,A603582044,600.73
2023-07-29,Supermarkt 4,A561343959,228.09
2023-07-29,Supermarkt 4,A902657755,230.59
2023-07-29,Supermarkt 4,A005651738,350.12
2023-07-29,Supermarkt 4,A981150945,692.59
2023-07-29,Supermarkt 4,A095006487,1173.25
2023-07-29,Supermarkt 4,A706979230,825.08
2023-07-29,Supermarkt 4,A659407615,939.01
2023-07-29,Supermarkt 4,A964371430,1089.53
2023-07-29,Supermarkt 4,A915007945,409.67
2023-07-29,Supermarkt 4,A632275648,918.89
2023-07-29,Supermarkt 4,A009620202,438.06
2023-07-29,Supermarkt 4,A614792896,589.22
2023-07-29,Supermarkt 4,A211024838,866.92
2023-07-29,Supermarkt 4,A833201552,164.36
2023-07-29,Supermarkt 4,A708646279,807.76
2023-07-29,Supermarkt 4,A271517930,695.59
2023-07-29,Supermarkt 4,A989997645,553.74
2023-07-29,Supermarkt 4,A650614472,849.22
2023-07-29,Supermarkt 4,A861073935,1047.25
2023-07-29,Supermarkt 4,A456066626,675.05
2023-07-29,Supermarkt 4,A366798881,160.74
2023-07-29,Supermarkt 4,A537912253,1034.78
2023-07-29,Supermarkt 4,A170524868,58.87
2023-07-29,Supermarkt 4,A604038175,390.16
2023-07-29,Supermarkt 4,A993351578,632.03
2023-07-29,Supermarkt 4,A570053582,770.86
2023-07-29,Supermarkt 4,A422512091,72.04
2023-07-29,Supermarkt 4,A788950754,1198.82
2023-07-29,Supermarkt 4,A679670012,857.37
2023-07-29,Supermarkt 4,A335537225,377.5
2023-07-29,Supermarkt 4,A688505675,1047.1
2023-07-29,Supermarkt 4,A656518334,490.04
2023-07-29,Supermarkt 4,A716264443,146.33
2023-07-29,Supermarkt 4,A009200603,703.81
2023-07-29,Supermarkt 4,A442797635,1119.97
2023-07-29,Supermarkt 4,A242265362,292.5
2023-07-29,Supermarkt 4,A012444894,1133.84
2023-07-29,Supermarkt 4,A631083060,645.48
2023-07-29,Supermarkt 4,A656309719,717.51
2023-07-29,Supermarkt 4,A359914036,72.19
2023-07-29,Supermarkt 4,A244438343,78.67
2023-07-29,Supermarkt 4,A800933279,854.96
2023-07-29,Supermarkt 4,A133346768,341.87
2023-07-29,Supermarkt 4,A305220828,685.18
2023-07-29,Supermarkt 4,A548424340,123.47
2023-07-29,Supermarkt 4,A910933028,814.58
2023-07-29,Supermarkt 4,A283609409,773.59
2023-07-29,Supermarkt 4,A410381133,723.31
2023-07-29,Supermarkt 4,A228273253,1163.64
2023-07-29,Supermarkt 4,A725368653,228.62
2023-07-29,Supermarkt 4,A773031440,123.1
2023-07-29,Supermarkt 4,A983052179,182.94
2023-07-29,Supermarkt 4,A737367149,1040.09
2023-07-29,Supermarkt 4,A904974963,210.43
2023-07-29,Supermarkt 4,A563595548,800.35
2023-07-29,Supermarkt 4,A835808097,430.14
2023-07-29,Supermarkt 4,A429740544,149.86
2023-07-29,Supermarkt 4,A994514733,453.68
2023-07-29,Supermarkt 4,A290729105,406.41
2023-07-29,Supermarkt 4,A500112943,369.18
2023-07-29,Supermarkt 4,A424263777,775.05
2023-07-29,Supermarkt 4,A898307326,810.84
2023-07-29,Supermarkt 4,A046047365,983.17
2023-07-29,Supermarkt 4,A490583945,1137.51
2023-07-29,Supermarkt 4,A909494480,307.82
2023-07-29,Supermarkt 4,A862860169,1080.64
2023-07-29,Supermarkt 4,A181724067,767.78
2023-07-29,Supermarkt 4,A314868031,1129.34
2023-07-29,Supermarkt 4,A058486371,127.87
2023-07-29,Supermarkt 4,A420243377,350.39
2023-07-29,Supermarkt 4,A479921769,424.52
2023-07-30,Supermarkt 4,A508436107,307.47
2023-07-30,Supermarkt 4,A494741731,641.71
2023-07-30,Supermarkt 4,A984047700,682.5
2023-07-30,Supermarkt 4,A686288763,239.62
2023-07-30,Supermarkt 4,A117653789,1156.58
2023-07-30,Supermarkt 4,A876634416,829.24
2023-07-30,Supermarkt 4,A444070196,60.74
2023-07-30,Supermarkt 4,A267759769,565.6
2023-07-30,Supermarkt 4,A244182817,421.99
2023-07-30,Supermarkt 4,A357205926,42.4
2023-07-30,Supermarkt 4,A799771723,1107.52
2023-07-30,Supermarkt 4,A577908064,187.42
2023-07-30,Supermarkt 4,A901248058,991.95
2023-07-30,Supermarkt 4,A502744906,1011.07
2023-07-30,Supermarkt 4,A428175671,662.44
2023-07-30,Supermarkt 4,A401829730,315.07
2023-07-30,Supermarkt 4,A795990421,300.9
2023-07-30,Supermarkt 4,A842813962,1049.49
2023-07-30,Supermarkt 4,A858280858,827.22
2023-07-30,Supermarkt 4,A057188345,771.95
2023-07-30,Supermarkt 4,A370844032,1003.57
2023-07-30,Supermarkt 4,A615548631,377.03
2023-07-30,Supermarkt 4,A788109666,320.95
2023-07-30,Supermarkt 4,A443834257,1006.35
2023-07-30,Supermarkt 4,A070236562,1003.48
2023-07-30,Supermarkt 4,A719609280,200.88
2023-07-30,Supermarkt 4,A760957598,646.33
2023-07-30,Supermarkt 4,A195934452,837.57
2023-07-30,Supermarkt 4,A431470276,492.98
2023-07-30,Supermarkt 4,A196351288,710.48
2023-07-30,Supermarkt 4,A440064773,46.0
2023-07-30,Supermarkt 4,A302066701,1057.43
2023-07-30,Supermarkt 4,A386205094,237.04
2023-07-30,Supermarkt 4,A441032075,75.05
2023-07-30,Supermarkt 4,A466815911,322.98
2023-07-30,Supermarkt 4,A406253066,670.8
2023-07-30,Supermarkt 4,A822483184,809.9
2023-07-30,Supermarkt 4,A484628109,46.54
2023-07-30,Supermarkt 4,A096319128,285.26
2023-07-30,Supermarkt 4,A309161420,742.36
2023-07-30,Supermarkt 4,A708079024,731.69
2023-07-30,Supermarkt 4,A915048649,30.06
2023-07-30,Supermarkt 4,A119739307,275.18
2023-07-30,Supermarkt 4,A166076933,347.18
2023-07-30,Supermarkt 4,A689793331,880.4
2023-07-30,Supermarkt 4,A968963374,996.08
2023-07-30,Supermarkt 4,A415633717,325.29
2023-07-30,Supermarkt 4,A453190985,838.59
2023-07-30,Supermarkt 4,A389820286,915.68
2023-07-30,Supermarkt 4,A639180066,99.82
2023-07-30,Supermarkt 4,A774527541,504.01
2023-07-30,Supermarkt 4,A415352287,809.77
2023-07-30,Supermarkt 4,A391796759,542.6
2023-07-30,Supermarkt 4,A249604557,37.22
